datetime,open,high,low,close,volume
2025-02-12,129.9991,132.2187,129.0592,131.1189,160278552
2025-02-13,131.5338,136.478,131.1489,135.2682,197429975
2025-02-14,136.458,139.2276,135.4782,138.8276,195479557
2025-02-18,141.2473,143.4169,137.9028,139.3776,219176627
2025-02-19,139.4875,141.3372,137.1979,139.2076,167536006
2025-02-20,140.0075,140.6374,136.7681,140.0874,143903583
2025-02-21,140.0175,141.4372,134.0084,134.4084,228217585
2025-02-24,136.538,138.5677,130.0591,130.259,251381137
2025-02-25,129.9591,130.179,124.42,126.6096,271428711
2025-02-26,129.9641,133.7085,128.4693,131.2589,322553814
2025-02-27,134.9783,134.9883,119.9907,120.1307,443175846
2025-02-28,118.001,125.0699,116.3813,124.8999,389091145
2025-03-03,123.4901,123.6801,112.2619,114.0416,411381373
2025-03-04,110.6272,119.2908,110.0923,115.9713,398163305
2025-03-05,117.5611,118.2591,114.4916,117.2811,284337886
2025-03-06,113.5117,115.3314,110.2023,110.5522,321181861
2025-03-07,111.2321,113.4617,107.5427,112.6719,341755468
2025-03-10,109.8823,111.832,105.443,106.9628,366487363
2025-03-11,106.9728,112.2179,104.7531,108.7425,354865692
2025-03-12,114.1121,116.7519,112.8722,115.732,323857454
2025-03-13,117.0219,117.7519,113.7821,115.572,299033131
2025-03-14,118.6018,121.8716,118.1418,121.6616,277593455
2025-03-17,122.7315,122.8815,118.0219,119.5218,255501481
2025-03-18,117.9919,119.0118,114.5321,115.422,299686944
2025-03-19,117.2619,120.4367,115.672,117.5119,273426225
2025-03-20,116.542,120.1917,116.462,118.5218,248829749
2025-03-21,116.9319,117.9819,115.412,117.6919,266498528
2025-03-24,119.8717,122.2116,119.3318,121.4016,228452534
2025-03-25,120.5367,121.2816,118.9118,120.6817,167447198
2025-03-26,118.7218,118.8318,112.7022,113.7522,296431667
2025-03-27,111.3423,114.4421,110.6524,111.4223,236902055
2025-03-28,111.4773,112.8622,109.0626,109.6624,229872549
2025-03-31,105.1227,110.9473,103.6428,108.3725,299212653
2025-04-01,108.5075,110.1924,106.4627,110.1424,222614034
2025-04-02,107.2826,111.9723,106.7826,110.4124,220601243
2025-04-03,103.5029,105.6227,101.593,101.793,338769412
2025-04-04,98.9032,100.1231,92.1036,94.3035,532273810
2025-04-07,87.454,101.743,86.614,97.6333,611041347
2025-04-08,103.7978,105.8427,94.4535,96.2934,476243392
2025-04-09,98.8832,115.0921,97.5234,114.3221,612918336
2025-04-10,109.3625,110.8524,99.1432,107.5626,437812353
2025-04-11,108.4925,111.5422,107.4726,110.9223,313417265
2025-04-14,114.1021,114.2821,109.0625,110.7024,264705049
2025-04-15,110.9623,113.6072,110.4924,112.1923,228966900
2025-04-16,104.5428,106.7826,100.4431,104.4828,397016870
2025-04-17,104.4428,104.4628,100.0431,101.483,292517465
2025-04-21,98.7632,99.4331,95.0334,96.9033,288501136
2025-04-22,98.7732,99.8041,97.2733,98.8832,241004784
2025-04-23,104.5128,104.7928,102.013,102.7029,247525971
2025-04-24,103.4679,106.5326,103.1029,106.4227,220815041
2025-04-25,106.8426,111.9123,105.7227,111.0023,251064672
2025-04-28,109.6824,110.3623,106.0127,108.7225,207708479
2025-04-29,107.6626,110.1923,107.4326,109.0125,170444263
2025-04-30,104.4628,108.9125,104.0728,108.9125,235044611
2025-05-01,113.0722,114.9321,111.2923,111.6023,236121507
2025-05-02,114.1721,115.392,113.3622,114.4921,190194778
2025-05-05,112.8972,114.6571,112.6522,113.8121,133163241
2025-05-06,111.4723,114.7321,110.8144,113.5322,158525621
2025-05-07,113.0372,117.6719,112.2741,117.0519,207827821
2025-05-08,118.2418,118.6718,115.842,117.3619,198428122
2025-05-09,117.3419,118.2218,115.2021,116.642,132972189
2025-05-12,121.9616,122.9915,120.2717,122.9915,225023345
2025-05-13,124.9714,131.2098,124.4614,129.921,330430105
2025-05-14,133.1858,135.4257,131.6709,135.3307,281180830
2025-05-15,134.2857,136.2906,132.6508,134.8207,226632563
2025-05-16,136.2106,136.3406,133.4508,135.3907,226542451
2025-05-19,132.3809,135.8606,132.3809,135.5606,193154571
2025-05-20,134.2807,134.5707,132.6108,134.3707,161514247
2025-05-21,133.0508,137.3905,130.581,131.7909,270608738
2025-05-22,132.2209,134.2407,131.5409,132.8208,187343954
2025-05-23,129.991,132.6708,129.1511,131.2809,198821324
2025-05-27,134.1407,135.6506,133.3008,135.4907,192953613
2025-05-28,136.0156,137.2405,134.7807,134.8007,304021146
2025-05-29,142.2352,143.4801,137.9005,139.1804,370615167
2025-05-30,138.7054,139.6104,132.9108,135.1207,333170851
2025-06-02,135.4807,138.1105,135.3907,137.3705,197663116
2025-06-03,138.7704,141.9902,137.9405,141.2103,225578783
2025-06-04,142.1802,142.3802,139.5354,141.9102,167120819
2025-06-05,142.1602,143.9901,138.8204,139.9803,232410759
2025-06-06,142.5002,143.2601,141.5002,141.7102,153986153
2025-06-09,143.1801,144.99,141.9302,142.6202,185114494
2025-06-10,142.6802,144.28,141.5152,143.9501,155881897
2025-06-11,144.61,144.99,141.87,142.83,167694044
2025-06-12,141.97,145.0,141.85,145.0,162364991
2025-06-13,142.48,143.58,140.855,141.97,180820565
2025-06-16,143.345,146.175,143.2001,144.69,183133666
2025-06-17,144.49,145.22,143.78,144.12,139108000
2025-06-18,144.005,145.65,143.12,145.48,161494121
2025-06-20,145.45,146.2,142.65,143.85,242956157
2025-06-23,142.5,144.78,142.03,144.17,154308941
2025-06-24,145.56,147.96,145.5,147.9,187566121
2025-06-25,149.27,154.45,149.26,154.31,269146471
2025-06-26,155.975,156.715,154.0,155.02,198145746
2025-06-27,156.04,158.71,155.255,157.75,263234539
2025-06-30,158.4,158.66,155.96,157.99,194580316
2025-07-01,156.29,157.2,151.49,153.3,213143621
2025-07-02,152.98,157.6,152.97,157.25,171224111
2025-07-03,158.37,160.98,157.77,159.34,143716055
2025-07-07,158.2,159.31,157.342,158.24,140138975
2025-07-08,159.33,160.22,158.39,160.0,138133025
